,Unnamed: 0,GO,Function
3,3,GO:1900101,P:regulation of endoplasmic reticulum unfolded protein response
12,12,GO:0072522,P:purine-containing compound biosynthetic process
13,13,GO:0043610,P:regulation of carbohydrate utilization
50,50,GO:0033301,P:cell cycle comprising mitosis without cytokinesis
81,81,GO:0061573,P:actin filament bundle retrograde transport
85,85,GO:0061163,P:endoplasmic reticulum polarization
124,124,GO:0160049,P:negative regulation of cGAS/STING signaling pathway
163,163,GO:1902939,P:negative regulation of intracellular calcium activated chloride channel activity
201,201,GO:0042494,P:detection of bacterial lipoprotein
247,247,GO:0036399,P:TCR signalosome assembly
263,263,GO:1903564,P:regulation of protein localization to cilium
363,363,GO:0035499,P:carnosine biosynthetic process
367,367,GO:0070898,P:RNA polymerase III preinitiation complex assembly
453,453,GO:0060820,P:inactivation of X chromosome by heterochromatin formation
467,467,GO:1904206,P:positive regulation of skeletal muscle hypertrophy
517,517,GO:0002760,P:positive regulation of antimicrobial humoral response
533,533,GO:0106040,P:regulation of GABA-A receptor activity
667,667,GO:0060118,P:vestibular receptor cell development
683,683,GO:1902466,P:positive regulation of histone H3-K27 trimethylation
688,688,GO:0071976,P:cell gliding
692,692,GO:0120117,P:T cell meandering migration
706,706,GO:0030034,P:microvillar actin bundle assembly
721,721,GO:0051494,P:negative regulation of cytoskeleton organization
835,835,GO:0046092,P:deoxycytidine metabolic process
849,849,GO:1904394,P:negative regulation of skeletal muscle acetylcholine-gated channel clustering
879,879,GO:0036116,P:long-chain fatty-acyl-CoA catabolic process
994,994,GO:0070241,P:positive regulation of activated T cell autonomous cell death
1070,1070,GO:0090152,P:establishment of protein localization to mitochondrial membrane involved in mitochondrial fission
1137,1137,GO:0002537,P:nitric oxide production involved in inflammatory response
1286,1286,GO:0048571,P:long-day photoperiodism
1347,1347,GO:1905809,P:negative regulation of synapse organization
1381,1381,GO:0032076,P:negative regulation of deoxyribonuclease activity
1396,1396,GO:0099637,P:neurotransmitter receptor transport
1556,1556,GO:0015861,P:cytidine transport
1655,1655,GO:0071454,P:cellular response to anoxia
1660,1660,GO:0031037,P:myosin II filament disassembly
1669,1669,GO:1990637,P:response to prolactin
1802,1802,GO:0045887,P:positive regulation of synaptic assembly at neuromuscular junction
1898,1898,GO:1903946,P:negative regulation of ventricular cardiac muscle cell action potential
1999,1999,GO:0021688,P:cerebellar molecular layer formation
2021,2021,GO:0045611,P:negative regulation of hemocyte differentiation
2032,2032,GO:0060853,P:Notch signaling pathway involved in arterial endothelial cell fate commitment
2048,2048,GO:0048631,P:regulation of skeletal muscle tissue growth
2068,2068,GO:0090717,P:adaptive immune memory response involving T cells and B cells
2175,2175,GO:0097026,P:dendritic cell dendrite assembly
2186,2186,GO:2000548,P:negative regulation of dendritic cell dendrite assembly
2231,2231,GO:0072175,P:epithelial tube formation
2254,2254,GO:0002041,P:intussusceptive angiogenesis
2327,2327,GO:1901881,P:positive regulation of protein depolymerization
2361,2361,GO:0061141,P:lung ciliated cell differentiation
2363,2363,GO:2000795,P:negative regulation of epithelial cell proliferation involved in lung morphogenesis
2405,2405,GO:0061196,P:fungiform papilla development
2410,2410,GO:0014835,P:myoblast differentiation involved in skeletal muscle regeneration
2458,2458,GO:0045167,P:asymmetric protein localization involved in cell fate determination
2546,2546,GO:0009443,P:pyridoxal 5'-phosphate salvage
2601,2601,GO:1902068,P:regulation of sphingolipid mediated signaling pathway
2691,2691,GO:0050433,P:regulation of catecholamine secretion
2823,2823,GO:0016182,P:synaptic vesicle budding from endosome
2994,2994,GO:0051089,P:constitutive protein ectodomain proteolysis
3044,3044,GO:1904837,P:beta-catenin-TCF complex assembly
3116,3116,GO:0072432,P:response to G1 DNA damage checkpoint signaling
3169,3169,GO:0045225,P:negative regulation of CD4 production
3171,3171,GO:0046341,P:CDP-diacylglycerol metabolic process
3180,3180,GO:1903638,P:positive regulation of protein insertion into mitochondrial outer membrane
3187,3187,GO:0034969,P:histone arginine methylation
3192,3192,GO:0035246,P:peptidyl-arginine N-methylation
3193,3193,GO:1904992,P:positive regulation of adenylate cyclase-inhibiting dopamine receptor signaling pathway
3238,3238,GO:1903402,P:regulation of renal phosphate excretion
3239,3239,GO:0032415,P:regulation of sodium:proton antiporter activity
3241,3241,GO:0097291,P:renal phosphate ion absorption
3248,3248,GO:0022616,P:DNA strand elongation
3266,3266,GO:1903620,P:positive regulation of transdifferentiation
3274,3274,GO:0001172,P:RNA-templated transcription
3276,3276,GO:0140745,P:siRNA transcription
3281,3281,GO:0062175,P:brexanolone catabolic process
3399,3399,GO:0150018,P:basal dendrite development
3427,3427,GO:1905040,P:otic placode development
3435,3435,GO:0060301,P:positive regulation of cytokine activity
3448,3448,GO:1902946,P:protein localization to early endosome
3474,3474,GO:1902378,P:VEGF-activated neuropilin signaling pathway involved in axon guidance
3515,3515,GO:1904616,P:regulation of actin binding
3533,3533,GO:0014741,P:negative regulation of muscle hypertrophy
3565,3565,GO:0010808,P:positive regulation of synaptic vesicle priming
3592,3592,GO:0099145,P:regulation of exocytic insertion of neurotransmitter receptor to postsynaptic membrane
3598,3598,GO:0021703,P:locus ceruleus development
3607,3607,GO:0021642,P:trochlear nerve formation
3629,3629,GO:0019606,P:2-oxobutyrate catabolic process
3700,3700,GO:0000117,P:regulation of transcription involved in G2/M transition of mitotic cell cycle
3703,3703,GO:0045763,P:negative regulation of cellular amino acid metabolic process
3715,3715,GO:1905215,P:negative regulation of RNA binding
3763,3763,GO:0072003,P:kidney rudiment formation
3771,3771,GO:1905438,P:non-canonical Wnt signaling pathway involved in midbrain dopaminergic neuron differentiation
3774,3774,GO:0003339,P:regulation of mesenchymal to epithelial transition involved in metanephros morphogenesis
3776,3776,GO:0035150,P:regulation of tube size
3816,3816,GO:0002479,"P:antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-dependent"
3936,3936,GO:0021548,P:pons development
3938,3938,GO:0021539,P:subthalamus development
4042,4042,GO:0035508,P:positive regulation of myosin-light-chain-phosphatase activity
4106,4106,GO:0106134,P:positive regulation of cardiac muscle cell contraction
4251,4251,GO:0031443,P:fast-twitch skeletal muscle fiber contraction
4359,4359,GO:1903043,P:positive regulation of chondrocyte hypertrophy
4420,4420,GO:2000900,P:cyclodextrin metabolic process
4512,4512,GO:0050928,P:negative regulation of positive chemotaxis
4553,4553,GO:2000541,P:positive regulation of protein geranylgeranylation
4583,4583,GO:0051141,P:negative regulation of NK T cell proliferation
4749,4749,GO:0097052,P:L-kynurenine metabolic process
4841,4841,GO:1902616,P:acyl carnitine transmembrane transport
4932,4932,GO:1904649,P:regulation of fat cell apoptotic process
5011,5011,GO:1901696,P:cannabinoid biosynthetic process
5044,5044,GO:0009584,P:detection of visible light
5170,5170,GO:1905936,P:regulation of germ cell proliferation
5192,5192,GO:1990679,P:histone H4-K12 deacetylation
5291,5291,GO:0021757,P:caudate nucleus development
5294,5294,GO:0021758,P:putamen development
5307,5307,GO:0015679,P:plasma membrane copper ion transport
5309,5309,GO:1902601,P:silver ion transmembrane transport
5315,5315,GO:1902311,P:regulation of copper ion transmembrane transport
5337,5337,GO:0070731,P:cGMP transport
5416,5416,GO:0034343,P:type III interferon production
5502,5502,GO:1901303,P:negative regulation of cargo loading into COPII-coated vesicle
5505,5505,GO:0070862,P:negative regulation of protein exit from endoplasmic reticulum
5584,5584,GO:0060436,P:bronchiole morphogenesis
5591,5591,GO:0030538,P:embryonic genitalia morphogenesis
5610,5610,GO:0061115,P:lung proximal/distal axis specification
5615,5615,GO:0060496,P:mesenchymal-epithelial cell signaling involved in lung development
5640,5640,GO:0071338,P:positive regulation of hair follicle cell proliferation
5651,5651,GO:0050677,P:positive regulation of urothelial cell proliferation
5665,5665,GO:0060879,P:semicircular canal fusion
5670,5670,GO:0060661,P:submandibular salivary gland formation
5676,5676,GO:0050674,P:urothelial cell proliferation
5679,5679,GO:0070343,P:white fat cell proliferation
5708,5708,GO:0010533,P:regulation of activation of Janus kinase activity
5728,5728,GO:1901291,P:negative regulation of double-strand break repair via single-strand annealing
5793,5793,GO:0002398,P:MHC class Ib protein complex assembly
5795,5795,GO:0050823,P:peptide antigen stabilization
5831,5831,GO:0018276,P:isopeptide cross-linking via N6-glycyl-L-lysine
5944,5944,GO:0061343,P:cell adhesion involved in heart morphogenesis
6037,6037,GO:0006566,P:threonine metabolic process
6150,6150,GO:1905458,P:positive regulation of lymphoid progenitor cell differentiation
6183,6183,GO:0005993,P:trehalose catabolic process
6184,6184,GO:0005991,P:trehalose metabolic process
6193,6193,GO:1905492,P:positive regulation of branching morphogenesis of a nerve
6212,6212,GO:0000481,P:maturation of 5S rRNA
6249,6249,GO:0043519,P:regulation of myosin II filament organization
6332,6332,GO:0006863,P:purine nucleobase transport
6467,6467,GO:0021658,P:rhombomere 3 morphogenesis
6532,6532,GO:1904980,P:positive regulation of endosome organization
6595,6595,GO:2000027,P:regulation of animal organ morphogenesis
6617,6617,GO:1901027,P:dextrin catabolic process
6618,6618,GO:0000025,P:maltose catabolic process
6619,6619,GO:0005983,P:starch catabolic process
6661,6661,GO:1904924,P:negative regulation of mitophagy in response to mitochondrial depolarization
6665,6665,GO:0019742,P:pentacyclic triterpenoid metabolic process
6701,6701,GO:1904998,P:negative regulation of leukocyte adhesion to arterial endothelial cell
6747,6747,GO:0086027,P:AV node cell to bundle of His cell signaling
6759,6759,GO:0010045,P:response to nickel cation
6761,6761,GO:0086018,P:SA node cell to atrial cardiac muscle cell signaling
6766,6766,GO:0007066,P:female meiosis sister chromatid cohesion
6768,6768,GO:0000707,P:meiotic DNA recombinase assembly
6835,6835,GO:1903729,P:regulation of plasma membrane organization
6860,6860,GO:0034263,P:positive regulation of autophagy in response to ER overload
7032,7032,GO:0010070,P:zygote asymmetric cell division
7071,7071,GO:0071528,P:tRNA re-export from nucleus
7106,7106,GO:0009159,P:deoxyribonucleoside monophosphate catabolic process
7156,7156,GO:0150013,P:negative regulation of neuron projection arborization
7184,7184,GO:0022410,P:circadian sleep/wake cycle process
7189,7189,GO:0010840,"P:regulation of circadian sleep/wake cycle, wakefulness"
7204,7204,GO:0035921,P:desmosome disassembly
7332,7332,GO:0044085,P:cellular component biogenesis
7337,7337,GO:0044089,P:positive regulation of cellular component biogenesis
7380,7380,GO:0007063,P:regulation of sister chromatid cohesion
7472,7472,GO:0002447,P:eosinophil mediated immunity
7490,7490,GO:0110012,P:protein localization to P-body
7497,7497,GO:0002334,P:transitional two stage B cell differentiation
7561,7561,GO:0009107,P:lipoate biosynthetic process
7604,7604,GO:0140060,P:axon arborization
7623,7623,GO:0031439,P:positive regulation of mRNA cleavage
7625,7625,GO:2000975,P:positive regulation of pro-B cell differentiation
7687,7687,GO:1901346,P:negative regulation of vasculature development involved in avascular cornea development in camera-type eye
7728,7728,GO:1903661,P:positive regulation of complement-dependent cytotoxicity
7733,7733,GO:0035340,P:inosine transport
7785,7785,GO:0001544,P:initiation of primordial ovarian follicle growth
7804,7804,GO:0002274,P:myeloid leukocyte activation
7847,7847,GO:0042339,P:keratan sulfate metabolic process
7851,7851,GO:0002509,P:central tolerance induction to self antigen
7855,7855,GO:0002458,P:peripheral T cell tolerance induction
7860,7860,GO:2000410,P:regulation of thymocyte migration
7884,7884,GO:0035768,P:endothelial cell chemotaxis to fibroblast growth factor
7889,7889,GO:0002518,P:lymphocyte chemotaxis across high endothelial venule
7890,7890,GO:2000545,P:negative regulation of endothelial cell chemotaxis to fibroblast growth factor
8071,8071,GO:1904049,P:negative regulation of spontaneous neurotransmitter secretion
8084,8084,GO:0051582,P:positive regulation of neurotransmitter uptake
8219,8219,GO:0098972,P:anterograde dendritic transport of mitochondrion
8304,8304,GO:0034720,P:histone H3-K4 demethylation
8374,8374,GO:0062099,P:negative regulation of programmed necrotic cell death
8411,8411,GO:2000870,P:regulation of progesterone secretion
8530,8530,GO:0071335,P:hair follicle cell proliferation
8540,8540,GO:0035283,P:central nervous system segmentation
8587,8587,GO:0032307,P:negative regulation of prostaglandin secretion
8687,8687,GO:0140708,P:CAT tailing
8925,8925,GO:0031269,P:pseudopodium assembly
8983,8983,GO:0070757,P:interleukin-35-mediated signaling pathway
8991,8991,GO:0031959,P:mineralocorticoid receptor signaling pathway
9010,9010,GO:1902728,P:positive regulation of growth factor dependent skeletal muscle satellite cell proliferation
9041,9041,GO:0034050,P:programmed cell death induced by symbiont
9106,9106,GO:0006065,P:UDP-glucuronate biosynthetic process
9154,9154,GO:0046499,P:S-adenosylmethioninamine metabolic process
9183,9183,GO:1901339,P:regulation of store-operated calcium channel activity
9228,9228,GO:0048211,P:Golgi vesicle docking
9328,9328,GO:0052373,P:suppression of symbiont entry into host
9466,9466,GO:0086103,P:G protein-coupled receptor signaling pathway involved in heart process
9480,9480,GO:0060920,P:cardiac pacemaker cell differentiation
9503,9503,GO:0003172,P:sinoatrial valve development
9651,9651,GO:0140466,P:iron-sulfur cluster export from the mitochondrion
9654,9654,GO:1903331,P:positive regulation of iron-sulfur cluster assembly
9692,9692,GO:0003363,P:lamellipodium assembly involved in ameboidal cell migration
9773,9773,GO:0042247,P:establishment of planar polarity of follicular epithelium
9791,9791,GO:0042666,P:negative regulation of ectodermal cell fate specification
9897,9897,GO:0150033,P:negative regulation of protein localization to lysosome
10087,10087,GO:0097699,P:vascular endothelial cell response to fluid shear stress
10114,10114,GO:1902954,P:regulation of early endosome to recycling endosome transport
10169,10169,GO:0005998,P:xylulose catabolic process
10269,10269,GO:0042023,P:DNA endoreduplication
10280,10280,GO:1990261,P:pre-mRNA catabolic process
10301,10301,GO:0021988,P:olfactory lobe development
10396,10396,GO:0051261,P:protein depolymerization
10441,10441,GO:1904935,P:positive regulation of cell proliferation in midbrain
10467,10467,GO:1900480,P:regulation of diacylglycerol biosynthetic process
10474,10474,GO:1904815,"P:negative regulation of protein localization to chromosome, telomeric region"
10485,10485,GO:1902688,P:regulation of NAD metabolic process
10518,10518,GO:0036250,P:peroxisome transport along microtubule
10576,10576,GO:1903785,P:L-valine transmembrane transport
10633,10633,GO:1902977,P:mitotic DNA replication preinitiation complex assembly
10704,10704,GO:0098787,P:mRNA cleavage involved in mRNA processing
10705,10705,GO:0070054,"P:mRNA splicing, via endonucleolytic cleavage and ligation"
10707,10707,GO:1990579,P:peptidyl-serine trans-autophosphorylation
10815,10815,GO:1904426,P:positive regulation of GTP binding
