,0
GO:0000002,11.0
GO:0000003,2.0
GO:0000012,10.0
GO:0000017,2.0
GO:0000018,6.0
GO:0000019,2.0
GO:0000022,2.0
GO:0000023,1.0
GO:0000025,1.0
GO:0000027,20.0
GO:0000028,16.0
GO:0000032,1.0
GO:0000038,19.0
GO:0000045,65.0
GO:0000050,11.0
GO:0000052,3.0
GO:0000053,1.0
GO:0000054,5.0
GO:0000055,7.0
GO:0000056,7.0
GO:0000070,31.0
GO:0000076,11.0
GO:0000077,36.0
GO:0000079,53.0
GO:0000082,64.0
GO:0000083,17.0
GO:0000086,49.0
GO:0000097,1.0
GO:0000098,3.0
GO:0000103,2.0
GO:0000105,2.0
GO:0000117,1.0
GO:0000122,906.0
GO:0000132,37.0
GO:0000154,4.0
GO:0000160,1.0
GO:0000165,100.0
GO:0000183,7.0
GO:0000184,33.0
GO:0000209,157.0
GO:0000212,6.0
GO:0000226,127.0
GO:0000244,14.0
GO:0000245,26.0
GO:0000255,8.0
GO:0000256,1.0
GO:0000266,17.0
GO:0000271,3.0
GO:0000272,2.0
GO:0000278,136.0
GO:0000281,63.0
GO:0000288,9.0
GO:0000289,22.0
GO:0000290,9.0
GO:0000291,2.0
GO:0000294,3.0
GO:0000296,2.0
GO:0000301,9.0
GO:0000302,13.0
GO:0000303,5.0
GO:0000304,1.0
GO:0000305,1.0
GO:0000320,3.0
GO:0000338,11.0
GO:0000349,2.0
GO:0000350,2.0
GO:0000354,2.0
GO:0000375,25.0
GO:0000379,3.0
GO:0000380,21.0
GO:0000381,56.0
GO:0000387,27.0
GO:0000388,1.0
GO:0000389,6.0
GO:0000390,3.0
GO:0000395,6.0
GO:0000398,186.0
GO:0000413,29.0
GO:0000415,1.0
GO:0000422,40.0
GO:0000423,20.0
GO:0000425,6.0
GO:0000430,2.0
GO:0000432,6.0
GO:0000435,1.0
GO:0000447,10.0
GO:0000448,2.0
GO:0000451,3.0
GO:0000454,3.0
GO:0000455,4.0
GO:0000460,13.0
GO:0000461,1.0
GO:0000462,26.0
GO:0000463,15.0
GO:0000466,4.0
GO:0000467,9.0
GO:0000469,3.0
GO:0000470,7.0
GO:0000472,5.0
GO:0000479,4.0
GO:0000480,8.0
GO:0000481,1.0
GO:0000492,10.0
GO:0000493,2.0
GO:0000494,3.0
GO:0000495,2.0
GO:0000578,7.0
GO:0000706,1.0
GO:0000707,1.0
GO:0000709,1.0
GO:0000710,1.0
GO:0000711,3.0
GO:0000712,17.0
GO:0000715,1.0
GO:0000717,1.0
GO:0000720,4.0
GO:0000722,10.0
GO:0000723,56.0
GO:0000724,98.0
GO:0000725,4.0
GO:0000727,12.0
GO:0000729,10.0
GO:0000730,3.0
GO:0000731,14.0
GO:0000732,1.0
GO:0000737,5.0
GO:0000738,4.0
GO:0000768,5.0
GO:0000819,3.0
GO:0000820,1.0
GO:0000821,2.0
GO:0000902,86.0
GO:0000904,5.0
GO:0000915,4.0
GO:0000916,1.0
GO:0000917,1.0
GO:0000921,1.0
GO:0000956,17.0
GO:0000957,2.0
GO:0000958,3.0
GO:0000959,1.0
GO:0000961,2.0
GO:0000962,3.0
GO:0000963,6.0
GO:0000964,2.0
GO:0000965,2.0
GO:0000966,1.0
GO:0000971,1.0
GO:0000972,4.0
GO:0000973,3.0
GO:0001080,1.0
GO:0001100,1.0
GO:0001111,3.0
GO:0001112,1.0
GO:0001113,1.0
GO:0001172,1.0
GO:0001174,1.0
GO:0001178,1.0
GO:0001188,5.0
GO:0001193,1.0
GO:0001501,124.0
GO:0001502,20.0
GO:0001503,73.0
GO:0001504,8.0
GO:0001505,4.0
GO:0001507,2.0
GO:0001508,17.0
GO:0001510,9.0
GO:0001514,9.0
GO:0001516,18.0
GO:0001519,2.0
GO:0001522,4.0
GO:0001523,28.0
GO:0001525,245.0
GO:0001541,38.0
GO:0001542,8.0
GO:0001543,1.0
GO:0001544,1.0
GO:0001545,1.0
GO:0001546,3.0
