GO,Cluster,Function
GO:1900101,23,P:regulation of endoplasmic reticulum unfolded protein response
GO:0072522,17,P:purine-containing compound biosynthetic process
GO:0043610,23,P:regulation of carbohydrate utilization
GO:0033301,23,P:cell cycle comprising mitosis without cytokinesis
GO:0061573,23,P:actin filament bundle retrograde transport
GO:0061163,23,P:endoplasmic reticulum polarization
GO:0160049,13,P:negative regulation of cGAS/STING signaling pathway
GO:1902939,39,P:negative regulation of intracellular calcium activated chloride channel activity
GO:0042494,23,P:detection of bacterial lipoprotein
GO:0036399,23,P:TCR signalosome assembly
GO:1903564,8,P:regulation of protein localization to cilium
GO:0035499,17,P:carnosine biosynthetic process
GO:0070898,43,P:RNA polymerase III preinitiation complex assembly
GO:0060820,23,P:inactivation of X chromosome by heterochromatin formation
GO:1904206,28,P:positive regulation of skeletal muscle hypertrophy
GO:0002760,42,P:positive regulation of antimicrobial humoral response
GO:0106040,23,P:regulation of GABA-A receptor activity
GO:0060118,22,P:vestibular receptor cell development
GO:1902466,38,P:positive regulation of histone H3-K27 trimethylation
GO:0071976,23,P:cell gliding
GO:0120117,23,P:T cell meandering migration
GO:0030034,23,P:microvillar actin bundle assembly
GO:0051494,39,P:negative regulation of cytoskeleton organization
GO:0046092,4,P:deoxycytidine metabolic process
GO:1904394,28,P:negative regulation of skeletal muscle acetylcholine-gated channel clustering
GO:0036116,11,P:long-chain fatty-acyl-CoA catabolic process
GO:0070241,42,P:positive regulation of activated T cell autonomous cell death
GO:0090152,8,P:establishment of protein localization to mitochondrial membrane involved in mitochondrial fission
GO:0002537,23,P:nitric oxide production involved in inflammatory response
GO:0048571,23,P:long-day photoperiodism
GO:1905809,39,P:negative regulation of synapse organization
GO:0032076,39,P:negative regulation of deoxyribonuclease activity
GO:0099637,23,P:neurotransmitter receptor transport
GO:0015861,23,P:cytidine transport
GO:0071454,12,P:cellular response to anoxia
GO:0031037,23,P:myosin II filament disassembly
GO:1990637,23,P:response to prolactin
GO:0045887,42,P:positive regulation of synaptic assembly at neuromuscular junction
GO:1903946,46,P:negative regulation of ventricular cardiac muscle cell action potential
GO:0021688,23,P:cerebellar molecular layer formation
GO:0045611,39,P:negative regulation of hemocyte differentiation
GO:0060853,9,P:Notch signaling pathway involved in arterial endothelial cell fate commitment
GO:0048631,28,P:regulation of skeletal muscle tissue growth
GO:0090717,23,P:adaptive immune memory response involving T cells and B cells
GO:0097026,10,P:dendritic cell dendrite assembly
GO:2000548,10,P:negative regulation of dendritic cell dendrite assembly
GO:0072175,23,P:epithelial tube formation
GO:0002041,23,P:intussusceptive angiogenesis
GO:1901881,27,P:positive regulation of protein depolymerization
GO:0061141,30,P:lung ciliated cell differentiation
GO:2000795,18,P:negative regulation of epithelial cell proliferation involved in lung morphogenesis
GO:0061196,23,P:fungiform papilla development
GO:0014835,28,P:myoblast differentiation involved in skeletal muscle regeneration
GO:0045167,9,P:asymmetric protein localization involved in cell fate determination
GO:0009443,23,P:pyridoxal 5'-phosphate salvage
GO:1902068,13,P:regulation of sphingolipid mediated signaling pathway
GO:0050433,23,P:regulation of catecholamine secretion
GO:0016182,23,P:synaptic vesicle budding from endosome
GO:0051089,23,P:constitutive protein ectodomain proteolysis
GO:1904837,43,P:beta-catenin-TCF complex assembly
GO:0072432,23,P:response to G1 DNA damage checkpoint signaling
GO:0045225,39,P:negative regulation of CD4 production
GO:0046341,4,P:CDP-diacylglycerol metabolic process
GO:1903638,27,P:positive regulation of protein insertion into mitochondrial outer membrane
GO:0034969,23,P:histone arginine methylation
GO:0035246,23,P:peptidyl-arginine N-methylation
GO:1904992,45,P:positive regulation of adenylate cyclase-inhibiting dopamine receptor signaling pathway
GO:1903402,23,P:regulation of renal phosphate excretion
GO:0032415,23,P:regulation of sodium:proton antiporter activity
GO:0097291,23,P:renal phosphate ion absorption
GO:0022616,23,P:DNA strand elongation
GO:1903620,42,P:positive regulation of transdifferentiation
GO:0001172,23,P:RNA-templated transcription
GO:0140745,23,P:siRNA transcription
GO:0062175,11,P:brexanolone catabolic process
GO:0150018,23,P:basal dendrite development
GO:1905040,23,P:otic placode development
GO:0060301,42,P:positive regulation of cytokine activity
GO:1902946,8,P:protein localization to early endosome
GO:1902378,13,P:VEGF-activated neuropilin signaling pathway involved in axon guidance
GO:1904616,23,P:regulation of actin binding
GO:0014741,24,P:negative regulation of muscle hypertrophy
GO:0010808,42,P:positive regulation of synaptic vesicle priming
GO:0099145,23,P:regulation of exocytic insertion of neurotransmitter receptor to postsynaptic membrane
GO:0021703,23,P:locus ceruleus development
GO:0021642,23,P:trochlear nerve formation
GO:0019606,11,P:2-oxobutyrate catabolic process
GO:0000117,21,P:regulation of transcription involved in G2/M transition of mitotic cell cycle
GO:0045763,4,P:negative regulation of cellular amino acid metabolic process
GO:1905215,39,P:negative regulation of RNA binding
GO:0072003,23,P:kidney rudiment formation
GO:1905438,13,P:non-canonical Wnt signaling pathway involved in midbrain dopaminergic neuron differentiation
GO:0003339,23,P:regulation of mesenchymal to epithelial transition involved in metanephros morphogenesis
GO:0035150,23,P:regulation of tube size
GO:0002479,25,"P:antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-dependent"
GO:0021548,23,P:pons development
GO:0021539,23,P:subthalamus development
