,GO,Cluster,Function
0,GO:0150098,0,P:glial cell-neuron signaling
1,GO:0090032,1,P:negative regulation of steroid hormone biosynthetic process
2,GO:1902729,1,P:negative regulation of proteoglycan biosynthetic process
3,GO:0045343,1,P:regulation of MHC class I biosynthetic process
4,GO:0031946,1,P:regulation of glucocorticoid biosynthetic process
5,GO:0031947,1,P:negative regulation of glucocorticoid biosynthetic process
6,GO:2001245,1,P:regulation of phosphatidylcholine biosynthetic process
7,GO:0010920,1,P:negative regulation of inositol phosphate biosynthetic process
8,GO:0046984,1,P:regulation of hemoglobin biosynthetic process
9,GO:0090030,1,P:regulation of steroid hormone biosynthetic process
10,GO:1903249,1,P:negative regulation of citrulline biosynthetic process
11,GO:2000180,1,P:negative regulation of androgen biosynthetic process
12,GO:0046318,1,P:negative regulation of glucosylceramide biosynthetic process
13,GO:0045344,1,P:negative regulation of MHC class I biosynthetic process
14,GO:2001246,1,P:negative regulation of phosphatidylcholine biosynthetic process
15,GO:1904985,1,P:negative regulation of quinolinate biosynthetic process
16,GO:0051545,1,P:negative regulation of elastin biosynthetic process
17,GO:0046986,1,P:negative regulation of hemoglobin biosynthetic process
18,GO:0090155,1,P:negative regulation of sphingolipid biosynthetic process
19,GO:1904935,2,P:positive regulation of cell proliferation in midbrain
20,GO:1901964,2,P:positive regulation of cell proliferation involved in outflow tract morphogenesis
21,GO:1901989,2,P:positive regulation of cell cycle phase transition
22,GO:1905935,2,P:positive regulation of cell fate determination
23,GO:0010720,2,P:positive regulation of cell development
24,GO:2000525,2,P:positive regulation of T cell costimulation
25,GO:0010652,2,P:positive regulation of cell communication by chemical coupling
26,GO:0031343,2,P:positive regulation of cell killing
27,GO:0045795,2,P:positive regulation of cell volume
28,GO:0061006,2,P:regulation of cell proliferation involved in kidney morphogenesis
29,GO:0010650,2,P:positive regulation of cell communication by electrical coupling
30,GO:0003251,2,P:positive regulation of cell proliferation involved in heart valve morphogenesis
31,GO:1901723,2,P:negative regulation of cell proliferation involved in kidney development
32,GO:2000409,2,P:positive regulation of T cell extravasation
33,GO:1901978,2,P:positive regulation of cell cycle checkpoint
34,GO:1903431,2,P:positive regulation of cell maturation
35,GO:1901724,2,P:positive regulation of cell proliferation involved in kidney development
36,GO:0071831,3,P:intermediate-density lipoprotein particle clearance
37,GO:1905890,3,P:regulation of cellular response to very-low-density lipoprotein particle stimulus
38,GO:0071830,3,P:triglyceride-rich lipoprotein particle clearance
39,GO:0034369,3,P:plasma lipoprotein particle remodeling
40,GO:0010987,3,P:negative regulation of high-density lipoprotein particle clearance
41,GO:1903909,3,P:regulation of receptor clustering
42,GO:1905597,3,P:positive regulation of low-density lipoprotein particle receptor binding
43,GO:0034373,3,P:intermediate-density lipoprotein particle remodeling
44,GO:0150024,3,P:oxidised low-density lipoprotein particle clearance
45,GO:1900120,3,P:regulation of receptor binding
46,GO:0034377,3,P:plasma lipoprotein particle assembly
47,GO:0034441,3,P:plasma lipoprotein particle oxidation
48,GO:2000645,3,P:negative regulation of receptor catabolic process
49,GO:1903910,3,P:negative regulation of receptor clustering
